得能,筋力,敏捷,技術,変化,精神,査定,区別,下位,互換
インコース◯,38,25,63,0,0,27.44,青,,アウトコース◯
内角必打,26,17,44,0,0,70.56,金,インコース◯,外角必打
アウトコース◯,38,25,63,0,0,27.44,青,,インコース◯
外角必打,26,17,44,0,0,70.56,金,アウトコース◯,内角必打
ささやき破り,10,40,100,0,100,39.2,青,,
本塁生還,31,83,31,0,43,31.36,青,,
帰巣本能,21,58,21,0,30,66.64,金,本塁生還,
ラッキーセブン,40,0,20,0,65,15.68,青,,
バズーカ,88,88,88,0,0,78.4,金,,
司令塔,14,44,122,0,122,78.4,金,,
競争心,20,0,20,0,86,15.68,青,,
切磋琢磨,14,0,14,0,60,62.72,金,競争心,
打球ノビ◯,18,18,138,0,12,39.2,青,,
打球ノビ◎,24,24,184,0,16,19.6,青,打球ノビ◯,
ローリング打法,16,16,128,0,11,39.2,金,打球ノビ◎,
盗塁アシスト,0,0,32,0,32,7.84,青,,
アイコンタクト,0,45,87,0,130,78.4,金,,
速攻◯,75,75,38,0,0,19.6,青,,
上り調子,56,0,38,0,94,19.6,青,,
昇り龍,39,0,26,0,65,78.4,金,上り調子,
窮地◯,35,0,35,0,35,15.68,青,,
ヒートアップ,24,0,24,0,38,62.72,金,窮地◯,
読心術,70,70,70,0,140,98,金,,
情熱エール,0,0,81,0,182,78.4,金,,
打開,60,88,0,0,40,19.6,青,,
一番槍,42,61,0,0,28,78.4,金,打開,
接戦◯,70,0,35,0,20,15.68,青,,
祝福,44,0,44,0,44,78.4,金,接戦◯,
鼓舞,40,0,40,0,108,15.68,青,,
ミラクルボイス,28,0,28,0,75,62.72,金,鼓舞,
かく乱,0,110,60,0,18,15.68,青,,
トリックスター,0,77,42,0,12,62.72,金,かく乱,
挑発,65,65,98,0,33,78.4,金,,
一発逆転,148,0,0,0,40,15.68,青,,
一発逆転王,103,0,0,0,28,62.72,金,一発逆転,
一掃,24,140,24,0,0,19.6,青,,
スイープ,16,98,16,0,0,78.4,金,一掃,
初撃,38,0,75,0,75,27.44,青,,
洗礼の一撃,26,0,52,0,52,70.56,金,初撃,
冷静,50,50,50,0,100,39.2,青,,
明鏡止水,35,35,35,0,70,58.8,金,冷静,
サイン察知,0,60,45,0,20,15.68,青,,
看破,0,42,31,0,14,62.72,金,サイン察知,
四番◯,158,0,30,0,0,39.2,青,,
不動の四番,110,0,21,0,0,58.8,金,四番◯,
孤高,50,28,80,0,60,15.68,青,,
孤軍奮闘,35,19,35,0,42,62.72,金,孤高,
走力ブースト,38,150,0,0,0,15.68,青,,
走力バースト,43,175,0,0,0,101.92,金,走力ブースト,
ファースト◯,0,50,38,0,100,7.84,青,,
至高の一塁手,0,99,75,0,197,207.76,金,ファースト◯,
セカンド◯,0,40,88,0,60,7.84,青,,
至高の二塁手,0,78,175,0,119,207.76,金,セカンド◯,
サード◯,30,44,44,0,70,7.84,青,,
至高の三塁手,58,87,87,0,138,207.76,金,サード◯,
ショート◯,20,30,88,0,50,7.84,青,,
至高の遊撃手,38,59,175,0,99,207.76,金,ショート◯,
アウトフィールダー◯,48,70,50,0,20,7.84,青,,
至高の外野手,95,138,99,0,39,207.76,金,アウトフィールダー◯,
守備移動◯,0,128,30,0,30,19.6,青,,
牛若丸,0,338,79,0,79,98,金,守備移動◯,
痛打,75,0,38,0,75,19.6,青,,
大打撃,198,0,100,0,198,98,金,痛打,
チャンスボール,175,0,90,0,135,15.68,青,,
ホームランボール,122,0,63,0,94,101.92,金,チャンスボール,
心眼,35,35,105,0,175,98,金,,
対ストレート◯,120,0,30,0,45,19.6,青,,
ストレートキラー,168,0,42,0,63,98,金,対ストレート◯,
対変化球◯,30,0,120,0,45,19.6,青,,
カット打ち,0,25,50,0,50,15.68,青,,
